,precision,recall,f1-score,support
0,0.7727272727272727,0.7345679012345679,0.7531645569620253,162.0
1,0.9224137931034483,0.8879668049792531,0.904862579281184,241.0
2,0.743801652892562,0.7407407407407407,0.7422680412371134,243.0
3,0.550561797752809,0.6049382716049383,0.5764705882352941,162.0
4,0.9696969696969697,0.9876543209876543,0.9785932721712538,162.0
5,0.9070796460176991,0.8506224066390041,0.8779443254817987,241.0
6,0.8597560975609756,0.8493975903614458,0.8545454545454545,166.0
7,0.9401197604790419,0.9751552795031055,0.9573170731707317,161.0
8,0.9248554913294798,0.9696969696969697,0.9467455621301775,165.0
9,0.9545454545454546,0.9625,0.9585062240663901,240.0
10,0.8598726114649682,0.8333333333333334,0.8463949843260188,162.0
11,0.9588477366255144,0.9628099173553719,0.9608247422680413,242.0
12,0.7142857142857143,0.7975460122699386,0.7536231884057971,163.0
13,1.0,0.995850622406639,0.997920997920998,241.0
14,0.9078947368421053,0.8363636363636363,0.8706624605678234,165.0
15,0.9916317991631799,0.9793388429752066,0.9854469854469855,242.0
16,0.95,0.926829268292683,0.9382716049382716,164.0
17,0.7982832618025751,0.7717842323651453,0.7848101265822784,241.0
18,0.9617834394904459,0.937888198757764,0.949685534591195,161.0
19,0.9426751592356688,0.896969696969697,0.9192546583850931,165.0
20,0.5850340136054422,0.5308641975308642,0.5566343042071198,162.0
21,0.8301886792452831,0.8098159509202454,0.8198757763975155,163.0
22,0.895397489539749,0.8806584362139918,0.8879668049792531,243.0
23,1.0,0.9915966386554622,0.9957805907172996,238.0
24,0.9573170731707317,0.9515151515151515,0.9544072948328267,165.0
25,0.9274193548387096,0.9465020576131687,0.9368635437881874,243.0
26,0.8098159509202454,0.8,0.8048780487804879,165.0
27,0.925,0.9079754601226994,0.9164086687306502,163.0
28,0.8682634730538922,0.9006211180124224,0.8841463414634146,161.0
29,0.7635658914728682,0.8073770491803278,0.7848605577689243,244.0
30,0.6172839506172839,0.6172839506172839,0.6172839506172839,162.0
31,0.9914163090128756,0.9746835443037974,0.9829787234042553,237.0
32,0.7926829268292683,0.7831325301204819,0.7878787878787878,166.0
33,0.9759036144578314,0.9818181818181818,0.9788519637462235,165.0
34,0.9817073170731707,0.9938271604938271,0.9877300613496932,162.0
35,0.871244635193133,0.8353909465020576,0.8529411764705882,243.0
36,0.975609756097561,0.9876543209876543,0.9815950920245399,162.0
37,0.96875,0.9451219512195121,0.9567901234567902,164.0
38,0.7813765182186235,0.8008298755186722,0.7909836065573771,241.0
39,0.9236947791164659,0.9465020576131687,0.9349593495934959,243.0
40,0.9875776397515528,0.9814814814814815,0.9845201238390093,162.0
41,0.8050847457627118,0.7851239669421488,0.7949790794979079,242.0
42,0.6312849162011173,0.6975308641975309,0.6627565982404692,162.0
43,0.9512195121951219,0.9629629629629629,0.9570552147239264,243.0
44,0.9673469387755103,0.9793388429752066,0.973305954825462,242.0
45,0.9634146341463414,0.9875,0.9753086419753086,160.0
46,0.9685534591194969,0.9506172839506173,0.9595015576323987,162.0
47,0.9345238095238095,0.9631901840490797,0.9486404833836858,163.0
48,0.9064327485380117,0.9451219512195121,0.9253731343283582,164.0
49,0.735632183908046,0.7710843373493976,0.7529411764705882,166.0
50,0.9382716049382716,0.9325153374233128,0.9353846153846154,163.0
51,0.9685534591194969,0.9447852760736196,0.9565217391304348,163.0
52,0.9743589743589743,0.9440993788819876,0.9589905362776026,161.0
53,1.0,0.9958847736625515,0.9979381443298969,243.0
54,0.8509316770186336,0.8253012048192772,0.8379204892966361,166.0
55,0.8294117647058824,0.8650306748466258,0.8468468468468469,163.0
56,0.8452380952380952,0.8819875776397516,0.8632218844984803,161.0
57,0.6307053941908713,0.628099173553719,0.629399585921325,242.0
58,0.952,0.9834710743801653,0.967479674796748,242.0
59,0.9873949579831933,0.975103734439834,0.9812108559498957,241.0
60,0.9936708860759493,0.9751552795031055,0.9843260188087775,161.0
61,0.967479674796748,0.9834710743801653,0.9754098360655737,242.0
62,0.9691358024691358,0.9631901840490797,0.9661538461538461,163.0
63,0.7625,0.756198347107438,0.7593360995850622,242.0
64,0.9700598802395209,0.9818181818181818,0.9759036144578314,165.0
65,0.6265060240963856,0.6473029045643154,0.636734693877551,241.0
